guba_name,postnums,readnum,replynum,post_id,create_time,author_url,content,title
AB股吧,0,,,,,,,
主题吧,0,,,,,,,
活期宝,0,,,,,,,
定期宝,0,,,,,,,
评级吧,0,,,,,,,
权证吧,0,,,,,,,
新发吧,0,,,,,,,
基金吧,0,,,,,,,
活期宝吧,0,,,,,,,
定期宝吧,0,,,,,,,
商品A吧,0,,,,,,,
基金公告吧,0,,,,,,,
实战交流吧,0,,,,,,,
IF03吧,14,14915,2,"news,if03,64349107",2013-03-08T16:59:56Z,http://iguba.eastmoney.com/5667113574135008,K线系统中的大周期将限制小周期，小周期将服从大周期，这也是证券物理学理论观点之一。在相对短周期的K线无法准确显示未来趋势的时候，我们必须将K线图换到周期更长的线图下分析。针对场内无数人对大盘年内将运行至3000点甚至5、6000点的美好憧憬，我们将K线图换至10日K线周期看看当其属于何种情况：从图中可以看出，虽然起自1949点的这一轮上涨十分流畅，但10日K线系统的布林线呈现标准的箱体形态，箱顶箱底及中位分别位于2515、1947和2231点，预示着大盘将在未来很长时间内运行于该区间；该周期下面的60线目前位于2495点且将缓慢下移，该均线也将是大盘未来强有力点阻力线。由此可见，一看见阳线就立即盲目乐观的那些每年都在梦想大盘即将突破3000而到达5、6000点的想法实属自作多情。我们反复强调，当前中国股市仍然运行于标准的超级大熊市里面，还没有任何理由可以认为股市已经开始下一轮牛市的运行，一切死多头思维都只能促使其处于继续被套状态，在做空机制迟早都会全面推出的未来，他们必将被市场彻底消灭！,K线系统中的大周期将限制小周期，小周期将服从大周期，这也是证券物理学理论观点之一。在相对短周期的K线
IF06吧,27,17018,5,"news,if06,74996008",2013-05-05T15:16:18Z,http://iguba.eastmoney.com/4287113590430030,大小非888888,大小非888888
IF01吧,8,16408,6,"news,if01,74996125",2013-05-05T15:25:06Z,http://iguba.eastmoney.com/4287113590430030,大小非88888888,大小非88888888
IF09吧,13,18673,7,"news,if09,74996145",2013-05-05T15:26:21Z,http://iguba.eastmoney.com/4287113590430030,大小非888888888,大小非888888888
燃料油吧,50,22798,8,"news,fshfefu,74996236",2013-05-05T15:31:31Z,http://iguba.eastmoney.com/4287113590430030,大小非88888888888,大小非88888888888
纤维板吧,13,11201,30,"news,fdcefb,99397674",2014-02-11T11:07:19Z,http://iguba.eastmoney.com/8025093904423998,像割韭菜一样，先割下一茬，等韭菜涨起来再割它!!!,66.50空纤板1405先收获了一茬
豆粕吧,791,2724,14,"news,fdcem,106128577",2014-04-01T03:15:40Z,http://iguba.eastmoney.com/6972093910192020,四月底收盘将是一根带上影线的巨阴线！,终极诱多完结后所有多散瞬间一夜回到解放前！
IF05吧,62,11194,2,"news,if05,109414941",2014-05-03T08:47:00Z,http://iguba.eastmoney.com/8563613366403226,。。。。,一旦有个好事中国人就会蜂拥而至，结果好事就办砸了。
艺术品吧,21,115033,13,"news,ysp,114916253",2014-07-08T09:11:43Z,http://iguba.eastmoney.com/9544113554985974,,古代瓷器动辄上亿 市民家传宝成“幸福的折磨”
沪锌吧,635,9911,4,"news,fshfezn,118063577",2014-08-12T14:16:35Z,http://iguba.eastmoney.com/7117112360448854,期货平仓防做反，买华东重机002685=避险=赚5倍,期货平仓防做反，买华东重机002685=避险=赚5倍
橡胶吧,3512,14367,81,"news,fshferu,122986684",2014-09-12T09:29:27Z,http://iguba.eastmoney.com/3685093978050756,,可用资金终于变为正数了。
期货吧,112961,57990,25,"news,qh,124245146",2014-09-23T15:10:44Z,http://iguba.eastmoney.com/8895094062560710,汇融天下骗子曝光 天涯消费投诉网,汇融天下骗子曝光 天涯消费投诉网
螺纹钢吧,24817,2953,6,"news,fshferb,130736131",2014-11-18T10:44:22Z,http://iguba.eastmoney.com/1144013826669408,,感觉空头在对敲 根本就没有真的在卖出
鸡蛋吧,2682,6042,5,"news,fdcejd,167892540",2015-05-21T10:40:45Z,http://iguba.eastmoney.com/5124112758482870,【司令】鲁泰安流氓<weifeng7436782@qq.com> 20:49:43 屋里也有，车上刚开回来,给大家发个好东东，鸡蛋收购商QQ群里收购商之间的对话，日期2015.5.20
焦炭吧,3335,1790,5,"news,fdcej,233218236",2015-12-18T21:33:38Z,http://iguba.eastmoney.com/6495111967212750,开空啊,庄在诱多
铁矿石吧,11030,6412,6,"news,fdcei,260510375",2016-02-22T10:47:03Z,http://iguba.eastmoney.com/7238094196350024,327重仓空，爆了！太惨烈了,爆仓了
沪铜吧,465,8774,8,"news,fshfecu,268074028",2016-03-10T14:35:04Z,http://iguba.eastmoney.com/3564113348448018,3.10日内新华铜操作建议,3.10日内新华铜操作建议
玉米吧,479,657191970,13537,"news,cjpl,419809422",2016-06-15T17:19:31Z,http://iguba.eastmoney.com/6712111507146464,,1分钟极速开户，送3重惊喜！每月还能赚巨额现金奖励
棕榈油吧,156,23792,23,"news,fdcep,565589773",2016-11-05T10:07:57Z,http://iguba.eastmoney.com/3398094207205302,,农产品牛市处于第三主升浪之中！
PTA吧,616,26255,49,"news,fczceta,567648193",2016-11-10T22:47:17Z,http://iguba.eastmoney.com/3398094207205302,言简意赅。。。目前是第三主升浪的初期，此时此刻PTA指数价格是5069元，半年之内目标价7000元以上。,PTA指数半年之内可达7000元以上！
白砂糖吧,315,17731,17,"news,fczcesr,568947103",2016-11-15T11:14:37Z,http://iguba.eastmoney.com/7928094406657870,现在要做多，我也只敢多白糖。,现在要做多，我也只敢多白糖。
豆油吧,127,19874,23,"news,fdcey,582100623",2016-12-23T11:07:39Z,http://iguba.eastmoney.com/8953094786994162,美国豆油连续暴跌！！,美国豆油连续暴跌！！
国际板吧,33,17462,1,"news,gjb,591339762",2017-01-18T18:24:46Z,http://iguba.eastmoney.com/2547094335702644,会穿衣服的人工智能,会穿衣服的人工智能
动力煤吧,485,22361,25,"news,fczcetc,591385890",2017-01-18T19:03:54Z,http://iguba.eastmoney.com/2466094056031764,立马多翻空空单加倍加量狂持长线。多单无论高低立马闪人大逃亡。牢记倒计时离春节还有不到六个工作日春节后三月十五日全国一停止供暖煤就突变不值钱飞流直下狂跌所以抓紧一切时间趁节前猛抢等没戏。,立马多翻空空单加倍加量狂持长线。多单无论高低立马闪人大逃亡。牢记倒计时离春节还有不到六个工作日春节后三月十五日全国一停止供暖煤就突变不值钱飞流直下狂跌所以抓紧一
